                    ;              ;Nº Requisição     ;       ;                        ;                      ;           ;                                                                                                    ;        ;   ;  ;            ;               ;             ;                            ;                     ;                                   ;                                   ;Data Status     ;                                   ;Data Status     ;Duração;(Dia);   Valor Unitário;     ;      Qtde;     ;      Valor Total;   Valor Unitário;     ;      Qtde;     ;      Valor Total;      Qtde;     ;   Estoque;   Estoque;   Consumo;   Consumo;         ;         ;         ;         ;                              ;Dígito   ;                          ;                            ;          ;Data da   ;Prazo de  ;          ;                           ;          ;       ;         ;          ;                      ;              ;              ;Volume ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;                                                                                                                                                                                                                                                                                                         ;    ;                              
"""30715000000655""";AFI126005A7   ;                  ;A7     ;DCN2-11178              ;DCN2-11178            ;002FK      ;CONJUNTO DA PLACA ESQUERDA E DIREITA                                                                ;        ;C  ;30;"""1560"""  ;FA1005370      ;CELOG        ;Material                    ;06/05/2015 15:57     ;Cancelado                          ;Cancelada                          ;21/08/2018 00:09;                                   ;                ;   1203; 1203;          2642,50;R$   ;        30;EA   ;         79275,00;          2642,50;R$   ;        50;EA   ;        132125,00;          ;EA   ;         0;        50;         0;         0;J        ;70       ;E3       ;         ;                              ;C15006   ;                          ;                            ;NUPAMAAF  ;          ;          ;          ;2-Prazo de Entrega 15 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;                                 ;CONJ. DA PLACA ESQUERDA E DIREITA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;MATERIAL ATENDE INVIABILIDADE OFN TOHD                                                                                                                                                                                                                                                                   ;    ;                              
"""30415000000857""";LSI131069T9   ;                  ;T9     ;DCN4-10655              ;DCN4-10655            ;002FK      ;ARRUELA, APLICADA PN 12920/12920, AMORTECEDOR DIREITO/ESQUERDO                                      ;        ;C  ;30;"""5310"""  ;FA0697176      ;CELOG        ;Material                    ;11/05/2015 14:52     ;Autorizado                         ;Volume no Solicitante              ;01/11/2018 05:03;                                   ;                ;   1270; 2149;             0,22;R$   ;        39;EA   ;             8,58;            15,00;R$   ;       400;EA   ;          6000,00;       400;EA   ;       295;        59;        31;        51;J        ;70       ;E3       ;         ;                              ;C15037   ;                          ;                            ;PAMALS    ;          ;          ;07/12/2016;1-Entrega Imediata         ;          ;M000001;16E0942  ;026FK     ;                      ;              ;              ;       ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;TRANSFERÊNCIA ENTRE UNIDADES NÃO ATENDIDA. ATENDE PTA 2015, CONFORME QUANTIDADE INDICADA PELO SILOMS.                                                                                                                                                                                                    ;    ;                              
"""30415000000842""";LSI120095T9   ;                  ;T9     ;DCN3-9672               ;DCN3-9672             ;002FK      ;SWITCH,LOCK (CONTATO ELETRICO)                                                                      ;        ;C  ;30;"""5930"""  ;FA0047166      ;CELOG        ;Material                    ;30/04/2015 15:15     ;Concluído                          ;Expedida                           ;02/04/2018 09:19;                                   ;                ;   1068; 2160;           160,50;R$   ;        21;EA   ;          3370,50;           160,00;R$   ;       100;EA   ;         16000,00;       100;EA   ;         0;        95;         0;         0;A        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;07/12/2016;1-Entrega Imediata         ;          ;M000001;16E0940  ;001CK     ;                      ;              ;              ;       ;             ;                                 ;CONTATO ELETRICO.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ;ATENDE INSPEÇÕES E REVISÕES PARA 2015. QUANTIDADE PREVISTA PELO SILOMS, CONFORME DEMANDA DE PN E ALTERNADOS.                                                                                                                                                                                             ;    ;                              
"""30415000000786""";LSI096012T9   ;LSI096012T9       ;T9     ;DCN4-2414               ;DCN4-2414             ;002FK      ;PASTILHA                                                                                            ;        ;C  ;30;"""4320"""  ;FA0962425      ;CELOG        ;Material                    ;06/04/2015 15:31     ;Concluído                          ;Expedida                           ;24/11/2016 08:23;                                   ;                ;    598; 2184;           106,56;R$   ;        70;EA   ;          7459,20;           246,00;R$   ;       100;EA   ;         24600,00;       100;EA   ;        30;         0;        12;        12;Z        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;12/08/2016;1-Entrega Imediata         ;          ;M000001;16E0555  ;001CK     ;                      ;              ;              ;       ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;ATENDE PTA OFICINA  LC4 2015, CONFORME SOLICITAÇÃO DO DELINEADOR DO PROJETO (EMAIL DIA 31/03/2015).                                                                                                                                                                                                      ;    ;                              
"""30715000000620""";AFI089004A7   ;                  ;A7     ;DCN4-9917               ;DCN4-9917             ;002FK      ;GASKET                                                                                              ;        ;C  ;30;"""5330"""  ;FA0693903      ;CELOG        ;Material                    ;30/03/2015 09:16     ;Concluído Parcialmente             ;Recebida no Solicitante            ;21/08/2018 00:10;                                   ;                ;   1240; 1240;             2,88;R$   ;      2000;EA   ;          5760,00;            39,80;R$   ;       100;EA   ;          3980,00;          ;EA   ;         0;        96;         0;         0;G        ;70       ;E3       ;         ;                              ;C15006   ;                          ;                            ;NUPAMAAF  ;          ;          ;24/06/2017;2-Prazo de Entrega 15 dias ;          ;M000001;17E0285  ;0093K     ;                      ;              ;              ;       ;             ;                                 ;GASKET                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ;ATENDE PTA 2016                                                                                                                                                                                                                                                                                          ;    ;                              
"""30715000000619""";AFI089003A7   ;                  ;A7     ;DCN4-7145               ;DCN4-7145             ;002FK      ;PLATE,IDENTIFICATION                                                                                ;        ;C  ;30;"""9905"""  ;"""190007737""";CELOG        ;Material                    ;30/03/2015 08:45     ;Concluído Parcialmente             ;Recebida no Solicitante            ;21/08/2018 00:10;                                   ;                ;   1240; 1240;            21,46;R$   ;        40;EA   ;           858,24;            16,58;R$   ;       200;EA   ;          3316,00;          ;EA   ;         0;       332;         0;         0;J        ;70       ;E3       ;         ;                              ;C15006   ;                          ;                            ;NUPAMAAF  ;          ;          ;24/06/2017;2-Prazo de Entrega 15 dias ;          ;M000001;17E0284  ;0093K     ;                      ;              ;              ;       ;             ;                                 ;PLATE,IDENTIFICATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;ATENDE ITEM CRITICO NHA 110P2-430-01                                                                                                                                                                                                                                                                     ;    ;                              
"""30415000000773""";LSI133007SS   ;                  ;SS     ;DCN4-3316               ;DCN4-3316             ;002FK      ;ETIQUETA OXIGENIO                                                                                   ;        ;C  ;30;"""7530"""  ;"""190004665""";CELOG        ;Material                    ;13/05/2015 13:24     ;Autorizado                         ;Recebida na Comissão               ;19/07/2018 11:10;                                   ;                ;   1163; 2147;             0,63;R$   ;        13;EA   ;             8,24;            12,00;R$   ;      1000;EA   ;         12000,00;          ;EA   ;         0;       999;         0;         0;J        ;70       ;E3       ;         ;                              ;         ;                          ;                            ;PAMALS    ;          ;          ;07/12/2016;1-Entrega Imediata         ;          ;M000001;16E0948  ;001CK     ;                      ;              ;              ;       ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;ATENDE INSPENÇÕES E REVISÕES PREVISTA NO PTA 2015 - QTD CALCULADA PELO SILOMS ¿ RENOVAÇÃO AUTOMÁTICA - REQ INSERIDA EM SUBSTITUIÇÃO À LSI061075SS.                                                                                                                                                       ;    ;                              
"""38115000001558""";SPI077014GS   ;                  ;GS     ;DCN4-7401               ;DCN4-7401             ;03HPK      ;TUBO PLÁSTICO, INCOLOR, DIA EXTERNO 0,300 IN (7,6MM), MATERIAL CLORETO DE POLIVINILA (PVC), FLEXIVEL;        ;C  ;30;"""9330"""  ;FA0318033      ;CELOG        ;Material                    ;18/03/2015 11:57     ;Autorizado                         ;Empenho Aprovado                   ;18/10/2017 16:24;                                   ;                ;    945; 2203;             0,95;R$   ;      3000;MR   ;          2850,00;             0,96;R$   ;      5000;MR   ;          4800,00;          ;MR   ;         0;         0;         0;         0;J        ;10       ;E3       ;         ;                              ;C15033   ;                          ;                            ;PAMASP    ;          ;          ;04/11/2017;2-Prazo de Entrega 15 dias ;          ;M000001;17E0540  ;026FK     ;                      ;              ;              ;       ;             ;                                 ;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;ATD PTA FAB (UTILIZADO NO KIT PAEO)                                                                                                                                                                                                                                                                      ;    ;                              
"""30415000000744""";LSI075015T1   ;                  ;T1     ;DCN4-8056               ;DCN4-8056             ;002FK      ;CONTRAPINO                                                                                          ;        ;C  ;30;"""5315"""  ;"""190001422""";CELOG        ;Material                    ;16/03/2015 10:43     ;Cancelado                          ;Cancelada                          ;03/06/2015 11:34;                                   ;                ;     79;   79;             0,48;R$   ;        24;EA   ;            11,52;             0,48;R$   ;        24;EA   ;            11,52;          ;EA   ;         0;         0;         0;         0;5        ;70       ;E3       ;         ;                              ;C15021   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Requisição Inserida Indevidamente;PIN,COTTER                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ;ATENDE INSPENÇOES E REVISÕES PREVISTA NO PTA 2015 - QTD CALCULADA PELO SILOMS - Renovação Automática                                                                                                                                                                                                     ;    ;                              
"""30415000000399""";LSI056117T1   ;                  ;T1     ;DCN4-1160               ;DCN4-1160             ;002FK      ;ARRUELA DE ACABAMENTO                                                                               ;        ;C  ;30;"""5310"""  ;FA0150520      ;CELOG        ;Material                    ;25/02/2015 10:26     ;Concluído                          ;Expedida                           ;12/06/2017 09:42;                                   ;                ;    838; 2224;             2,13;R$   ;       415;EA   ;           883,95;             9,70;R$   ;       415;EA   ;          4025,50;       415;EA   ;         0;         0;       600;      1100;J        ;70       ;E3       ;         ;                              ;C15021   ;                          ;                            ;PAMALS    ;          ;          ;07/12/2016;3-Prazo de Entrega 60 dias ;          ;M000001;16E0946  ;001CK     ;                      ;              ;              ;       ;             ;                                 ;ARRUELA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;ATENDE INSPEN¿OES E REVISåES PREVISTA NO PTA 2015 - QTD CALCULADA PELO SILOMS - Renova¿Æo Autom tica                                                                                                                                                                                                     ;    ;                              
"""30415000000400""";LSI056118T1   ;                  ;T1     ;DCN4-2017               ;DCN4-2017             ;002FK      ;ANEL DE VEDAÇÃO                                                                                     ;        ;C  ;30;"""5331"""  ;"""190007725""";CELOG        ;Material                    ;25/02/2015 10:26     ;Autorizado                         ;Empenho Aprovado                   ;27/07/2017 10:28;                                   ;                ;    883; 2224;            12,10;R$   ;       194;EA   ;          2347,40;            13,00;R$   ;       200;EA   ;          2600,00;          ;EA   ;       202;         0;         0;         0;J        ;70       ;E3       ;         ;                              ;C15021   ;                          ;                            ;PAMALS    ;          ;          ;26/08/2017;3-Prazo de Entrega 60 dias ;          ;M000001;17E0378  ;0195K     ;                      ;              ;              ;       ;             ;                                 ;ANEL DE VEDA¿ÇO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;ATENDE INSPEN¿OES E REVISÅES PREVISTA NO PTA 2015 - QTD CALCULADA PELO SILOMS - RENOVA¿ÆO AUTOM TICA                                                                                                                                                                                                     ;    ;                              
"""30415000000320""";LSI056191T9   ;                  ;T9     ;DCN4-2202               ;DCN4-2202             ;002FK      ;PINO ELÁSTICO                                                                                       ;        ;C  ;30;"""5315"""  ;"""190003120""";CELOG        ;Material                    ;25/02/2015 10:30     ;Cancelado                          ;Cancelada                          ;03/08/2016 09:35;                                   ;                ;    525;  525;            88,28;R$   ;         4;EA   ;           353,12;            88,28;R$   ;        20;EA   ;          1765,60;          ;EA   ;         0;         0;         0;         0;J        ;70       ;E3       ;         ;                              ;C15028   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Falta de crédito                 ;PINO EL¿STICO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;ATENDE INSPEN¿OES E REVISÅES PREVISTA NO PTA 2015 - QTD CALCULADA PELO SILOMS - MRP                                                                                                                                                                                                                      ;    ;                              
"""30415000000302""";LSI056069U8   ;                  ;U8     ;DCN4-2445               ;DCN4-2445             ;002FK      ;ANEL DE VEDAÇÃO, MATERIAL: RUBBER FLUOROCARBON                                                      ;        ;C  ;30;"""5331"""  ;"""190003077""";CELOG        ;Material                    ;25/02/2015 10:23     ;Cancelado                          ;Cancelada                          ;26/11/2019 15:20;                                   ;                ;   1735; 1735;             2,05;R$   ;        38;EA   ;            77,90;            67,20;R$   ;        50;EA   ;          3360,00;          ;EA   ;        12;         8;         0;         0;J        ;70       ;E3       ;         ;                              ;C15025   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Material não mais Necessário     ;ANEL DE VEDAÇÃO, MATERIAL: RUBBER FLUOROCARBON                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;ATENDE INSPEN¿OES E REVISÅES PREVISTA NO PTA 2015 - QTD CALCULADA PELO SILOMS - RENOVA¿ÇO AUTOM¿TICA                                                                                                                                                                                                     ;    ;                              
"""30415000000324""";LSI062169T2   ;                  ;T2     ;DCN4-2673               ;DCN4-2673             ;002FK      ;PARAFUSO DE PORCA COM APERTO INTERNO                                                                ;        ;C  ;30;"""5306"""  ;FA0695965      ;CELOG        ;Material                    ;03/03/2015 15:24     ;Cancelado                          ;Cancelada                          ;10/11/2015 07:28;                                   ;                ;    252;  252;            32,56;R$   ;        51;EA   ;          1660,56;            32,56;R$   ;       100;EA   ;          3256,00;          ;EA   ;         0;         0;         0;         0;J        ;70       ;E3       ;         ;                              ;C15023   ;                          ;                            ;PAMALS    ;          ;          ;          ;3-Prazo de Entrega 60 dias ;          ;       ;         ;          ;                      ;              ;              ;       ;             ;Preço Excessivo                  ;PARAFUSO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;ATENDE INSPEN¿OES E REVISÅES PREVISTA NO PTA 2015 - QTD CALCULADA PELO SILOMS - MRP                                                                                                                                                                                                                      ;    ;                              
